text,labels
Prayers for Cabo: Hurricane Odile Roars Through Cabo San Lucas http via,6
Sammy Hagar's Home Damaged in Hurricane: Sammy Hagar's home was damaged as Hurricane Odile slammed into Cabo S... http,3
"Residents, Tourists Sent to Shelters as Hurricane Odile Makes Landfall – ABC News http",2
Our thoughts go out to all of our friends in Los Cabos and Baja Mexico after being hit by Hurricane Odile. Be safe everyone.,6
"Does anyone have information on emergency services and potable water in La Paz, BCS?  Hurricane O D I L E La Paz",7
Wow! My wife in this airport yesterday “@PzFeed: Tragic sight of Cabo Airport after hurricane Odile paid a visit http,7
"In case of a hurricane, we're happy to provide post-storm cleanup services to our clients but this is a little much. http",4
(09/22) ONE WAY TO HELP ODILE VICTIMS   http,7
We are a community  - Please help us provide emergency relief to those impacted in Baja Sur.  http,4
My thoughts are with those currently suffering the wrath of Hurricane Odile.,6
Big thanks to  and Gabriel for the help today with our stranded friends in Cabo.  Major props!  Odile,1
"[UT world] Weakening Odile pushes up Mexico's Baja California: About 30,000 tourists are in temporary shelters... http",2
Some heartbreaking  damage photos from Cabo San Lucas..Being near the eyewall of a major hurricane will do that. Should never be wished upon,3
"Residents, Tourists Sent to Shelters as Hurricane Odile Makes Landfall - ABC News http",2
"A Path of Hurricane Odile's Destruction, Seen Through Instagram http",3
"A Path of Hurricane Odile's Destruction, Seen Through Instagram: Hurricane Odile cam... http",7
Hurricane O D I L E praying for the citizens of Cabo who may not have been as lucky to have a secure hotel to keep shelter in,6
Odile is dumping a lot of rain on Mexico. Cabo San Lucas Airport heavily damaged. http,3
Los Cabos airport shut until Oct. 8 because of Hurricane Odile damage; many hotels hope to reopen in mid/late Oct. http,7
2:45 PM CT Associa Mexico Realty Services UPDATE No. 1  Odile http,7
"A Path of Hurricane Odile's Destruction, Seen Through Instagram: Hurricane Odile came ashore over Ca... http Tick",7
WOW Holidaymakers take shelter after Mexico is battered by Hurricane Odile http via,2
Cabo News | First images of damage caused by Odile |: http,3
Prayers and thoughts with the people of Cabo as they deal with the devastation from Hurricane Odile.   I just... http,6
Hurricane Odile Relief // Mulege | Help our neighbors get back on track in  and  http via,4
Hurricane O D I L E how bad is the damage in Cabo? Hope everyone is OK. Supposed to go for vacation in December.,3
More detail coming out re impact of Hurricane Odile and damaged / missing boats. http,3
Horrible. This is the resort we evacuated from - Grand Solmar. Restaurant damaged. Half of pool in the ocean. Odile http,3
Damage across Cabo San Lucas including Los Cabos Internat'l Airport from Hurricane Odile... via Twitter http,3
P L E A S E HELP victims of Hurricane Odile by donating to Fundacion Sarahuaro http http,4
Major disruptions to  power supply and service Mexico Baja California due hurricane Odile  SJD &amp; LAD airports extensive damage,3
"Hurricane Odile Slams Baja California; Extensive Damage, Power Outages ... - The Weather Channel http",3
Las Cabos International Airport in Cabo San Lucas reportedly closed until Sept. 22 due to damage from Hurricane Odile …,3
"Mashable:A Path of Hurricane Odile's Destruction, Seen Through Instagram: Hurricane Odile came ashore over Cab... http",3
"The major flooding with Odile for US will be west of Kathleens which hit so cal, sw arizona. Did 160 million damage",3
Are you aware of any honest relief fund in Cabo that donations can be made  The local folks really need us now Hurricane O D I L E,4
Our friends in Cabo need help after hurricane Odile. Your help is appreciated! Thank you! http http,4
"Just heard from friends who live in Todos Santos, who got direct hit from Hurricane Odile. Major damage.",3
"Sammy Hagar has canceled his Birthday Bash due to Hurricane Odile causing destruction to Cabo San Lucas, Mexico. http",7
"A Path of Hurricane Odile's Destruction, Seen Through Instagram http vía",3
"Cabo   First live report on national TV from La Paz after Odile. No looting at all, services ... http",7
hugs back. :) I brought in a crap load of dirt to help keep the water from flooding behind my house..#Odile,8
Prayers go out to everyone in cabo who are stuck because of the hurricane ὢ2❤️,6
Pics of damage to Cabo from Hurricane O D I L E appearing. From   http  Hoping  i…,3
"Hurricane Odile Timeline: Unprecedented Cyclone Leaves Widespread Damage in Cabo San Lucas, Baja California  (The... http",3
Hurricane Odile heavily damaged parts of the Baja Peninsula. Big flood threat for SW U.S. http http,3
Resorts report damage from Hurricane Odile: The Westin Los Cabos and the Sheraton Hacienda del Mar... http Travel News,3
Please post link for donations for Los Cabos Hurricane O D I L E Relief,4
"Anyone we can reach out to help Ohio relatives stranded in Cabo, MX from Hurricane Odile? Other states setting up email/numbers.",4
(09/22) ONE WAY TO HELP ODILE VICTIMS http click on link and  to article,4
"(09/22) ONE WAY TO HELP ODILE VICTIMS:  Jon Rose, SIMA, Aguerre Brothers, Surfline and Others Rally humanitarian aid http",4
Los Cabos airport still closed because of Hurricane Odile damage. Seattle's  cancels all flights Tues. to hard-…,3
Hotels Damaged by Odile http,3
We experienced Hurricane O D I L E and we created a non-profit to help those we met. Restore Baja. Share: http,4
"||  A Path of Hurricane Odile's Destruction, Seen Through Instagram http",7
Rescued from Hurricane Odile we created non-profit. Pls. Share Restore Baja: http,4
Bisbee's Black &amp; Blue Tournaments  Bisbee's Team is helping to support the victims of Hurricane Odile. Los Cabos... http,4
Thoughts and prayers with those down in Los Cabos this morning. Hope all is alright. Hurricane O D I L E http,6
“@bendaviator: Odile Hurricane O D I L E  . Best video we've seen of damage. http,3
"Month from hell: grandparents caught in the hurricane in cabo, my dog died &amp; my mom is in the hospital. Talk about winning",0
Hey Putin!  Didn't you try this humanitarian thing in Georgia?  How did it work out for those folks?  -  -  Ura killer!  Vikings  Odile,8
"Advice for every day, but tomorrow especially: please don't do anything stupid. Listen to the warnings. Odile",5
We experienced Hurricane O D I L E. Were rescued Fri. We created a non-profit Restore Baja. Pls. Share: http,2
Hurricane Odile hits Mexico: Hurricane Odile blazed a trail of destruction through Mexico's Baja Ca... http,3
"made in mexico, we are so proud to help Baja California for the hurricane Odile with bikers clubs http",4
"A Path of Hurricane Odile's Destruction, Seen Through Instagram: Hurricane Odi... http di",7
Travel Advisory: Cabo airport closed through Sept. 22 to assess hurricane damage.... http,3
Mexico: Mexico: Hurricane Odile - Coastal Watches/Warnings and 5-Day Forecast Cone for Storm... http,5
Please  to Hurricane O D I L E victims if you can! Our neighbors need the help!    http,4
H E L P! Hurricane Odile. Food &amp; water are desperately needed near Cabo Cush Hotel. People are looting and fighting. Please help!,4
Utahns are trapped in MX following Hurricane Odile w/ little food &amp; water. 1 is 5 months pregnant. NO AGENCIES helping.HELP,1
"Sheraton Hacienda del Mar, Los Cabos  http  wind &amp; rain damage, guests ok, power provided by generators  Odile",7
