text,exp_and_td,labels
"Magnitude 7.2  jolts different parts of Sindh, Balochistan Awaran Pakistan Dunyatv",injured or dead people,7
"Magnitude 7.2  jolts different parts of Sindh, Balochistan Awaran Pakistan Dunyatv",missing trapped or found people,7
"Magnitude 7.2  jolts different parts of Sindh, Balochistan Awaran Pakistan Dunyatv",displaced people and evacuations,7
"Magnitude 7.2  jolts different parts of Sindh, Balochistan Awaran Pakistan Dunyatv",infrastructure and utilities damage,7
"Magnitude 7.2  jolts different parts of Sindh, Balochistan Awaran Pakistan Dunyatv",donation needs or offers or volunteering services,7
"Magnitude 7.2  jolts different parts of Sindh, Balochistan Awaran Pakistan Dunyatv",caution and advice,7
"Magnitude 7.2  jolts different parts of Sindh, Balochistan Awaran Pakistan Dunyatv",sympathy and emotional support,7
"Magnitude 7.2  jolts different parts of Sindh, Balochistan Awaran Pakistan Dunyatv",other useful information,7
"Magnitude 7.2  jolts different parts of Sindh, Balochistan Awaran Pakistan Dunyatv",not related or irrelevant,7
"Magnitude 7.2  jolts different parts of Sindh, Balochistan Awaran Pakistan Dunyatv",someone is confirm dead death die or killed injured or hurt,7
California has enough fricking earthquakes. It doesn't need fracking earthquakes too http http,injured or dead people,7
California has enough fricking earthquakes. It doesn't need fracking earthquakes too http http,missing trapped or found people,7
California has enough fricking earthquakes. It doesn't need fracking earthquakes too http http,displaced people and evacuations,7
California has enough fricking earthquakes. It doesn't need fracking earthquakes too http http,infrastructure and utilities damage,7
California has enough fricking earthquakes. It doesn't need fracking earthquakes too http http,donation needs or offers or volunteering services,7
California has enough fricking earthquakes. It doesn't need fracking earthquakes too http http,caution and advice,7
California has enough fricking earthquakes. It doesn't need fracking earthquakes too http http,sympathy and emotional support,7
California has enough fricking earthquakes. It doesn't need fracking earthquakes too http http,other useful information,7
California has enough fricking earthquakes. It doesn't need fracking earthquakes too http http,not related or irrelevant,7
California has enough fricking earthquakes. It doesn't need fracking earthquakes too http http,someone is confirm dead death die or killed injured or hurt,7
".@EternalLiving5 =Thanks for retweeting prayer alert for Chile. Minimal damage from tsunami, though 5 reported killed.",injured or dead people,0
".@EternalLiving5 =Thanks for retweeting prayer alert for Chile. Minimal damage from tsunami, though 5 reported killed.",missing trapped or found people,0
".@EternalLiving5 =Thanks for retweeting prayer alert for Chile. Minimal damage from tsunami, though 5 reported killed.",displaced people and evacuations,0
".@EternalLiving5 =Thanks for retweeting prayer alert for Chile. Minimal damage from tsunami, though 5 reported killed.",infrastructure and utilities damage,0
".@EternalLiving5 =Thanks for retweeting prayer alert for Chile. Minimal damage from tsunami, though 5 reported killed.",donation needs or offers or volunteering services,0
".@EternalLiving5 =Thanks for retweeting prayer alert for Chile. Minimal damage from tsunami, though 5 reported killed.",caution and advice,0
".@EternalLiving5 =Thanks for retweeting prayer alert for Chile. Minimal damage from tsunami, though 5 reported killed.",sympathy and emotional support,0
".@EternalLiving5 =Thanks for retweeting prayer alert for Chile. Minimal damage from tsunami, though 5 reported killed.",other useful information,0
".@EternalLiving5 =Thanks for retweeting prayer alert for Chile. Minimal damage from tsunami, though 5 reported killed.",not related or irrelevant,0
".@EternalLiving5 =Thanks for retweeting prayer alert for Chile. Minimal damage from tsunami, though 5 reported killed.",someone is confirm dead death die or killed injured or hurt,0
¤ USA http 389 earthquake Even buildings with seismic retrofits damaged in Napa earthquake news24lhot Cal…,injured or dead people,3
¤ USA http 389 earthquake Even buildings with seismic retrofits damaged in Napa earthquake news24lhot Cal…,missing trapped or found people,3
¤ USA http 389 earthquake Even buildings with seismic retrofits damaged in Napa earthquake news24lhot Cal…,displaced people and evacuations,3
¤ USA http 389 earthquake Even buildings with seismic retrofits damaged in Napa earthquake news24lhot Cal…,infrastructure and utilities damage,3
¤ USA http 389 earthquake Even buildings with seismic retrofits damaged in Napa earthquake news24lhot Cal…,donation needs or offers or volunteering services,3
¤ USA http 389 earthquake Even buildings with seismic retrofits damaged in Napa earthquake news24lhot Cal…,caution and advice,3
¤ USA http 389 earthquake Even buildings with seismic retrofits damaged in Napa earthquake news24lhot Cal…,sympathy and emotional support,3
¤ USA http 389 earthquake Even buildings with seismic retrofits damaged in Napa earthquake news24lhot Cal…,other useful information,3
¤ USA http 389 earthquake Even buildings with seismic retrofits damaged in Napa earthquake news24lhot Cal…,not related or irrelevant,3
¤ USA http 389 earthquake Even buildings with seismic retrofits damaged in Napa earthquake news24lhot Cal…,someone is confirm dead death die or killed injured or hurt,3
"【#USGS  M 1.7, Southern Alaska: September 30, 2013 23:26:09 GMT http",injured or dead people,7
"【#USGS  M 1.7, Southern Alaska: September 30, 2013 23:26:09 GMT http",missing trapped or found people,7
"【#USGS  M 1.7, Southern Alaska: September 30, 2013 23:26:09 GMT http",displaced people and evacuations,7
"【#USGS  M 1.7, Southern Alaska: September 30, 2013 23:26:09 GMT http",infrastructure and utilities damage,7
"【#USGS  M 1.7, Southern Alaska: September 30, 2013 23:26:09 GMT http",donation needs or offers or volunteering services,7
"【#USGS  M 1.7, Southern Alaska: September 30, 2013 23:26:09 GMT http",caution and advice,7
"【#USGS  M 1.7, Southern Alaska: September 30, 2013 23:26:09 GMT http",sympathy and emotional support,7
"【#USGS  M 1.7, Southern Alaska: September 30, 2013 23:26:09 GMT http",other useful information,7
"【#USGS  M 1.7, Southern Alaska: September 30, 2013 23:26:09 GMT http",not related or irrelevant,7
"【#USGS  M 1.7, Southern Alaska: September 30, 2013 23:26:09 GMT http",someone is confirm dead death die or killed injured or hurt,7
California earthquake: California Earthquake:  http,injured or dead people,7
California earthquake: California Earthquake:  http,missing trapped or found people,7
California earthquake: California Earthquake:  http,displaced people and evacuations,7
California earthquake: California Earthquake:  http,infrastructure and utilities damage,7
California earthquake: California Earthquake:  http,donation needs or offers or volunteering services,7
California earthquake: California Earthquake:  http,caution and advice,7
California earthquake: California Earthquake:  http,sympathy and emotional support,7
California earthquake: California Earthquake:  http,other useful information,7
California earthquake: California Earthquake:  http,not related or irrelevant,7
California earthquake: California Earthquake:  http,someone is confirm dead death die or killed injured or hurt,7
Napa Valley 2014 earthquake – Damage to vineyards   http,injured or dead people,3
Napa Valley 2014 earthquake – Damage to vineyards   http,missing trapped or found people,3
Napa Valley 2014 earthquake – Damage to vineyards   http,displaced people and evacuations,3
Napa Valley 2014 earthquake – Damage to vineyards   http,infrastructure and utilities damage,3
Napa Valley 2014 earthquake – Damage to vineyards   http,donation needs or offers or volunteering services,3
Napa Valley 2014 earthquake – Damage to vineyards   http,caution and advice,3
Napa Valley 2014 earthquake – Damage to vineyards   http,sympathy and emotional support,3
Napa Valley 2014 earthquake – Damage to vineyards   http,other useful information,3
Napa Valley 2014 earthquake – Damage to vineyards   http,not related or irrelevant,3
Napa Valley 2014 earthquake – Damage to vineyards   http,someone is confirm dead death die or killed injured or hurt,3
"All tsunami warnings have been discontinued EXCEPT for Chile, Peru.   http",injured or dead people,5
"All tsunami warnings have been discontinued EXCEPT for Chile, Peru.   http",missing trapped or found people,5
"All tsunami warnings have been discontinued EXCEPT for Chile, Peru.   http",displaced people and evacuations,5
"All tsunami warnings have been discontinued EXCEPT for Chile, Peru.   http",infrastructure and utilities damage,5
"All tsunami warnings have been discontinued EXCEPT for Chile, Peru.   http",donation needs or offers or volunteering services,5
"All tsunami warnings have been discontinued EXCEPT for Chile, Peru.   http",caution and advice,5
"All tsunami warnings have been discontinued EXCEPT for Chile, Peru.   http",sympathy and emotional support,5
"All tsunami warnings have been discontinued EXCEPT for Chile, Peru.   http",other useful information,5
"All tsunami warnings have been discontinued EXCEPT for Chile, Peru.   http",not related or irrelevant,5
"All tsunami warnings have been discontinued EXCEPT for Chile, Peru.   http",someone is confirm dead death die or killed injured or hurt,5
Pakistan's 'Earthquake mountain': The island that appeared from the sea - http | http | Pakistan,injured or dead people,7
Pakistan's 'Earthquake mountain': The island that appeared from the sea - http | http | Pakistan,missing trapped or found people,7
Pakistan's 'Earthquake mountain': The island that appeared from the sea - http | http | Pakistan,displaced people and evacuations,7
Pakistan's 'Earthquake mountain': The island that appeared from the sea - http | http | Pakistan,infrastructure and utilities damage,7
Pakistan's 'Earthquake mountain': The island that appeared from the sea - http | http | Pakistan,donation needs or offers or volunteering services,7
Pakistan's 'Earthquake mountain': The island that appeared from the sea - http | http | Pakistan,caution and advice,7
Pakistan's 'Earthquake mountain': The island that appeared from the sea - http | http | Pakistan,sympathy and emotional support,7
Pakistan's 'Earthquake mountain': The island that appeared from the sea - http | http | Pakistan,other useful information,7
Pakistan's 'Earthquake mountain': The island that appeared from the sea - http | http | Pakistan,not related or irrelevant,7
Pakistan's 'Earthquake mountain': The island that appeared from the sea - http | http | Pakistan,someone is confirm dead death die or killed injured or hurt,7
Meanwhile in Pakistan a devastating earthquake has taken over 500 lives...Help out by donating to Baloch CM's Fund http,injured or dead people,0
Meanwhile in Pakistan a devastating earthquake has taken over 500 lives...Help out by donating to Baloch CM's Fund http,missing trapped or found people,0
Meanwhile in Pakistan a devastating earthquake has taken over 500 lives...Help out by donating to Baloch CM's Fund http,displaced people and evacuations,0
Meanwhile in Pakistan a devastating earthquake has taken over 500 lives...Help out by donating to Baloch CM's Fund http,infrastructure and utilities damage,0
Meanwhile in Pakistan a devastating earthquake has taken over 500 lives...Help out by donating to Baloch CM's Fund http,donation needs or offers or volunteering services,0
Meanwhile in Pakistan a devastating earthquake has taken over 500 lives...Help out by donating to Baloch CM's Fund http,caution and advice,0
Meanwhile in Pakistan a devastating earthquake has taken over 500 lives...Help out by donating to Baloch CM's Fund http,sympathy and emotional support,0
Meanwhile in Pakistan a devastating earthquake has taken over 500 lives...Help out by donating to Baloch CM's Fund http,other useful information,0
